         Step =   359  Time=   718.000 sec. Max. pressure corr.= 0.375E+01 Max. CFL= 0.446E+00 Max. CFL_acoustic= 0.000E+00
           Elapsed time =    0.002 min.  User time =    0.002 min.  System time =    0.000 min. 

           Wrote time series in OUTPUT/T_S
           Max & Min rdiag                 0.0000     1     1     1          0.0000     1     1     1
 SUCCESS writing netcdf file ./OUTPUT/bubble.nc
           Wrote restart data in OUTPUT/restart.dat and OUTPUT/REF0
         Step =   360  Time=   720.000 sec. Max. pressure corr.= 0.376E+01 Max. CFL= 0.446E+00 Max. CFL_acoustic= 0.000E+00
           Elapsed time =    0.003 min.  User time =    0.002 min.  System time =    0.000 min. 

  
 Ending Time: SEP 18, 2017   11:06:05.981
 
 MIMICA ENDED NORMALLY
